#ra		   dec			psfMag_u	psfMag_g	psfMag_r	psfMag_i	psfMag_z	psfMagErr_u		psfMagErr_g		psfMagErr_r		psfMagErr_i		psfMagErr_z
83.90439332	-0.88337013		19.44283	18.15577	17.6579		17.37447	17.30718	0.02932981		0.01639818		0.0117555		0.01064632		0.02396751
83.88062323	-0.86660428		21.2851		18.45659	17.01682	16.28832	15.86848	0.1007068		0.01672795		0.01137895		0.009882435		0.02188336
83.89553467	-0.85326347		18.51831	16.8803		16.20693	15.92281	15.75624	0.02036132		0.01578184		0.0111447		0.009792255		0.02182542
83.89701972	-0.84129785		19.8802		18.05781	17.34545	17.00105	16.7984		0.03692608		0.01632487		0.01152913		0.01019563		0.02275788
83.88947777	-0.84120905		20.22263	18.92576	18.46498	18.2201		18.07632	0.04574			0.01754377		0.01280933		0.0117733		0.02798217
83.8867265	-0.83702108		25.33891	21.21021	19.68465	18.15669	17.33917	0.6638214		0.0393619		0.0204066		0.01441711		0.02261268
83.89170671	-0.83014152		20.08787	18.52957	17.82694	17.52079	17.31976	0.04983078		0.01097918		0.01134923		0.009795799		0.01741507
83.88292208	-0.82284402		19.94269	18.69549	18.18804	17.95261	17.82902	0.04556817		0.01140867		0.01282832		0.01054742		0.02106103
83.88175156	-0.8173281		20.07016	17.61342	16.42078	15.94837	15.67929	0.05796533		0.0096743		0.01042798		0.008773204		0.01368502
83.88527666	-0.81603119		20.42629	18.61405	17.811		17.4862		17.31087	0.06279851		0.01120561		0.01132159		0.009746455		0.01737024


